year,code,amount,name,topname,depname,depcat,cat,ref
2018,110.110.3858c5.95,324000000,内廷費,皇室費,皇室費,その他の事項経費,その他の事項経費,(内廷費)100.0%
2018,110.110.5cfbc0.95,9315310000,宮廷費,皇室費,皇室費,その他の事項経費,その他の事項経費,庁費42.3% 施設整備費36.7% 各所修繕15.8% 報償費3.4% 招宴費0.7% 交際費0.6% 諸謝金0.4% 自動車重量税0.0%
2018,110.110.978e72.95,318802000,皇族費,皇室費,皇室費,その他の事項経費,その他の事項経費,(皇族費)100.0%
2018,862.99f.99f9b5.95,63838851000,衆議院,国会,衆議院,その他の事項経費,その他の事項経費,議員秘書手当18.6% 議員歳費15.9% 職員基本給13.6% 議員文書通信交通滞在費8.7% 職員諸手当6.8% 立法事務費5.7% 公共施設等維持管理運営費5.5% 議員会館管理等運営庁費5.4% 国家公務員共済組合負担金3.6% 情報処理業務庁費2.9% 超過勤務手当2.3% 退職手当2.2% 庁費1.5% 議員特殊乗車券等購入費1.4% 議案類印刷費1.1% 国有資産所在市町村交付金0.9% 基礎年金等国家公務員共済組合負担金0.8% 国政調査活動費0.6% 議員旅費0.5% 議員秘書退職手当0.4% 非常勤職員手当0.4% 短時間勤務職員給与0.2% 職員旅費0.2% 列国議会同盟分担金0.2% 各所修繕0.1% 招へい外国人滞在費0.1% 児童手当0.1% 交際費0.1% 弔慰金0.1% 休職者給与0.1% 議会雑費0.0% 公務災害補償費0.0% 国会活動啓発費0.0% 証人等旅費0.0% 諸謝金0.0% 赴任旅費0.0% 賠償償還及払戻金0.0% 自動車重量税0.0% 育児休業手当金国家公務員共済組合負担金0.0%
2018,862.99f.8562ed.95,9221700000,衆議院施設費,国会,衆議院,その他の事項経費,その他の事項経費,不動産購入費87.8% 施設整備費11.9% 施設施工庁費0.3% 施設施工旅費0.0%
2018,862.99f.9f3708.95,7000000,衆議院予備経費,国会,衆議院,その他の事項経費,その他の事項経費,(国会予備経費)100.0%
2018,862.b99.b99a7e.95,38785092000,参議院,国会,参議院,その他の事項経費,その他の事項経費,職員基本給16.8% 議員秘書手当16.1% 議員歳費13.6% 職員諸手当8.7% 議員文書通信交通滞在費7.5% 議員会館管理等運営庁費6.6% 立法事務費4.9% 国家公務員共済組合負担金4.5% 退職手当3.9% 公共施設等維持管理運営費3.2% 超過勤務手当2.9% 情報処理業務庁費2.6% 庁費1.6% 議員特殊乗車券等購入費1.2% 議案類印刷費1.1% 基礎年金等国家公務員共済組合負担金1.0% 国有資産所在市町村交付金0.8% 国政調査活動費0.6% 議員秘書退職手当0.4% 議員旅費0.4% 非常勤職員手当0.4% 職員旅費0.2% 各所修繕0.2% 短時間勤務職員給与0.1% 招へい外国人滞在費0.1% 児童手当0.1% 弔慰金0.1% 交際費0.1% 休職者給与0.1% 議会雑費0.1% 国会活動啓発費0.1% 証人等旅費0.0% 諸謝金0.0% 公務災害補償費0.0% 赴任旅費0.0% 賠償償還及払戻金0.0% 自動車重量税0.0% 育児休業手当金国家公務員共済組合負担金0.0%
2018,862.b99.04a7cf.95,6876773000,参議院施設費,国会,参議院,その他の事項経費,その他の事項経費,不動産購入費62.1% 施設整備費37.3% 施設施工庁費0.6% 施設施工旅費0.0%
2018,862.b99.fc0911.95,5000000,参議院予備経費,国会,参議院,その他の事項経費,その他の事項経費,(国会予備経費)100.0%
2018,862.66c.66cf32.95,17001875000,国立国会図書館(その他の事項経費),国会,国立国会図書館,その他の事項経費,その他の事項経費,職員基本給26.9% 国立国会図書館業務庁費26.0% 職員諸手当14.4% 電子計算機等借料7.7% 国家公務員共済組合負担金6.9% 図書館資料購入費4.6% 超過勤務手当2.7% 退職手当2.7% 納入出版物代償金2.3% 基礎年金等国家公務員共済組合負担金1.6% 非常勤職員手当1.2% 各所修繕0.5% 特殊文書関係資料整備費0.4% 立法資料購入費0.4% 職員旅費0.3% 短時間勤務職員給与0.3% 庁費0.3% 休職者給与0.2% 児童手当0.2% 諸謝金0.1% 国際図書館連盟等拠出金0.1% 赴任旅費0.1% 外国人招へい旅費0.0% 招へい外国人滞在費0.0% 委員等旅費0.0% 国有資産所在市町村交付金0.0% 公務災害補償費0.0% 交際費0.0% 育児休業手当金国家公務員共済組合負担金0.0% 自動車重量税0.0% 賠償償還及払戻金0.0%
